SUBZONE_C,SUBZONE_N,PLN_AREA_N,TOTAL_POPULATION,% POPULATION,CHILDREN_0_9,% CHILDREN,ADOLESCENT_10_19,% ADOLESCENT,ADULT_20_34,,SENIOR_35_59,,ELDERLY_60_ABOVE,,X_COORDINATE,Y_COORDINATE,SHAPE_Leng,SHAPE_Area
TPSZ03,BRADDELL,TOA PAYOH,10610,100,850,8.01,1080,10.18,2070,19.51,3920,36.95,2690,25.35,29811.6006,35855.51,3513.756935,446241.7919
TPSZ04,BOON TECK,TOA PAYOH,14790,100,1160,7.84,1470,9.94,2590,17.51,5350,36.17,4220,28.53,30193.1349,35272.7474,2626.136593,418657.3583
TPSZ05,LORONG 8 TOA PAYOH,TOA PAYOH,8060,100,530,6.58,740,9.18,1460,18.11,3040,37.72,2290,28.41,30646.8429,35893.1126,3271.271192,439646.7616
TPSZ06,PEI CHUN,TOA PAYOH,11490,100,890,7.75,1220,10.62,1870,16.28,4580,39.86,2930,25.50,30814.3282,35440.9703,2901.789416,411403.9371
TPSZ07,KIM KEAT,TOA PAYOH,8590,100,600,6.98,730,8.50,1770,20.61,3280,38.18,2210,25.73,30817.6061,34898.8968,2500.852271,369770.5632
TPSZ08,WOODLEIGH,TOA PAYOH,2420,100,290,11.98,290,11.98,490,20.25,980,40.50,370,15.29,31670.4785,35799.9019,3778.890574,813382.9814
TPSZ09,POTONG PASIR,TOA PAYOH,12420,100,920,7.41,1050,8.45,2390,19.24,4750,38.24,3310,26.65,31596.799,35028.1043,3496.881664,639143.5594
TPSZ10,BIDADARI,TOA PAYOH,0,0,0,0,0,0,0,0,0,0,0,0,32632.5394,35918.015,3323.742838,572502.1398
TPSZ11,SENNETT,TOA PAYOH,4570,100,310,6.78,480,10.50,880,19.26,1590,34.79,1310,28.67,32485.4898,35050.1965,3836.105793,867750.4373
TPSZ12,JOO SENG,TOA PAYOH,6670,100,560,8.40,620,9.30,1250,18.74,2550,38.23,1690,25.34,33454.069,35419.7276,4254.531333,1057165.244
TSSZ01,TENGEH,TUAS,0,0,0,0,0,0,0,0,0,0,0,0,7798.1677,35535.6127,9918.46418,2251155.704
TSSZ02,TUAS PROMENADE,TUAS,0,0,0,0,0,0,0,0,0,0,0,0,5918.9956,34910.5821,13318.7734,3188097.306
TSSZ03,TUAS NORTH,TUAS,0,0,0,0,0,0,0,0,0,0,0,0,7737.0329,34331.0851,7702.824948,3260150.857
TSSZ04,TUAS BAY,TUAS,0,0,0,0,0,0,0,0,0,0,0,0,6921.1588,33401.4189,10583.71113,3203306.037
TSSZ05,TUAS VIEW,TUAS,0,0,0,0,0,0,0,0,0,0,0,0,5753.6337,31501.4549,11013.62449,5675810.846
TSSZ06,TUAS VIEW EXTENSION,TUAS,0,0,0,0,0,0,0,0,0,0,0,0,5092.8949,26137.8735,54928.09387,27710950.08
WCSZ01,WESTERN WATER CATCHMENT,WESTERN WATER CATCHMENT,810,100,90,11.11,80,9.88,190,23.46,350,43.21,100,12.35,12020.342,40454.871,44305.66057,69748298.79
WDSZ01,WOODLANDS REGIONAL CENTRE,WOODLANDS,0,0,0,0,0,0,0,0,0,0,0,0,22571.2094,46698.8735,3254.343275,595652.1439
WDSZ02,MIDVIEW,WOODLANDS,36050,100,3530,9.79,5780,16.03,8660,24.02,13900,38.56,4180,11.60,23349.76,46841.1143,4159.20144,936415.5261
WDSZ03,WOODLANDS EAST,WOODLANDS,94300,100,10430,11.06,14430,15.30,20730,21.98,38820,41.17,9890,10.49,24506.6375,46991.63,6603.608301,2553463.724
WDSZ04,WOODLANDS SOUTH,WOODLANDS,36450,100,4760,13.06,5510,15.12,7710,21.15,14330,39.31,4140,11.36,23609.573,45692.8785,5211.384435,1576001.476
WDSZ05,WOODGROVE,WOODLANDS,35920,100,3020,8.41,5440,15.14,8520,23.72,14390,40.06,4550,12.67,21905.2849,45668.0411,6284.599725,1665469.26
WDSZ06,WOODLANDS WEST,WOODLANDS,32770,100,2810,8.57,3860,11.78,7700,23.50,12350,37.69,6050,18.46,21582.5903,46573.0249,5929.644687,1648629.909
WDSZ07,GREENWOOD PARK,WOODLANDS,0,0,0,0,0,0,0,0,0,0,0,0,22608.3894,47660.0645,4620.865567,1281296.51
WDSZ08,SENOKO WEST,WOODLANDS,0,0,0,0,0,0,0,0,0,0,0,0,23921.5512,48088.741,3966.740969,905921.1179
WDSZ09,NORTH COAST,WOODLANDS,14240,100,1020,7.16,1630,11.45,3150,22.12,5500,38.62,2940,20.65,22147.036,48031.5522,10847.88198,2450783.607
WISZ01,JURONG ISLAND AND BUKOM,WESTERN ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,13012.8805,27225.8674,68083.93647,36707720.92
WISZ02,SEMAKAU,WESTERN ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,21206.3338,20465.8075,18703.68114,4963787.104
WISZ03,SUDONG,WESTERN ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,15931.7586,19579.069,24759.0658,4207271.094
YSSZ01,YISHUN CENTRAL,YISHUN,1450,100,110,7.59,140,9.66,380,26.21,530,36.55,290,20.00,28483.0705,45383.3344,2549.643182,436368.5338
YSSZ02,NORTHLAND,YISHUN,30550,100,2550,8.35,3530,11.55,7060,23.11,12240,40.07,5170,16.92,28520.5814,46642.7243,5057.119921,1511000.363
YSSZ03,YISHUN EAST,YISHUN,56770,100,8470,14.92,5880,10.36,15070,26.55,20500,36.11,6850,12.07,29476.5995,45515.7196,5945.704099,1767092.896
YSSZ04,YISHUN SOUTH,YISHUN,38190,100,2980,7.80,4100,10.74,8910,23.33,14950,39.15,7250,18.98,28500.5467,44471.6735,5781.588051,1340167.988
YSSZ05,LOWER SELETAR,YISHUN,4620,100,860,18.61,540,11.69,1360,29.44,1570,33.98,290,6.28,29437.6195,43432.0454,15209.76279,8453312.38
YSSZ06,SPRINGLEAF,YISHUN,4020,100,310,7.71,510,12.69,870,21.64,1420,35.32,910,22.64,26969.7232,42586.216,6912.80078,2209210.705
YSSZ07,NEE SOON,YISHUN,910,100,90,9.89,100,10.99,150,16.48,380,41.76,190,20.88,25921.7245,43261.5225,7074.070778,2206695.555
YSSZ08,KHATIB,YISHUN,10630,100,730,6.87,1060,9.97,2570,24.18,4190,39.42,2080,19.57,27480.6357,44420.6884,4956.145735,1432913.062
YSSZ09,YISHUN WEST,YISHUN,58810,100,4920,8.37,6460,10.98,12530,21.31,23790,40.45,11110,18.89,27743.2668,45873.6006,5318.579266,1517767.389
