SUBZONE_C,PLANNING A,SUBZONE_NA,1_AND_2_RO,3_ROOM_FLA,4_ROOM_FLA,5_ROOM_AND,TOTAL_HDB,CONDOMINIU,LANDED_PROP,TOTAL,X_COORDINA,Y_COORDINA,SHAPE_Leng,SHAPE_Area
HGSZ06,Hougang,Kovan,0,760,2460,1060,4290,9390,12050,25730,33270.7913,38331.4768,5644.28775,1948613.205
SKSZ01,Sungei Kadut,Kranji,0,0,0,0,0,0,0,0,19766.8432,46226.3545,7899.952343,3652031.033
JESZ04,Jurong East,Lakeside,0,0,0,0,0,950,0,950,16697.0118,35114.9062,8828.63383,3108023.274
KLSZ06,Kallang,Lavender,2730,1320,1650,960,6670,2970,40,9680,30874.4064,32569.5264,3609.150463,757907.6111
BTSZ07,Bukit Timah,Leedon Park,0,0,0,0,0,2330,4010,6340,23947.764,33247.6811,7565.170053,2049551.25
RVSZ03,River Valley,Leonie Hill,0,0,0,0,0,2460,40,2500,28082.9397,31145.1079,2676.352563,368482.9883
LKSZ01,Lim Chu Kang,Lim Chu Kang,0,0,0,0,0,0,0,0,15309.8168,45819.0414,18733.83625,17494884.18
RCSZ02,Rochor,Little India,0,1360,1630,270,3250,50,40,3340,30307.5102,32122.9908,2203.280258,278303.5433
BLSZ02,Boon Lay,Liu Fang,0,0,0,0,0,0,0,0,14079.1004,33391.5623,7135.442501,2338909.489
TPSZ05,Toa Payoh,Lorong 8 Toa Payoh,500,2300,3150,2010,7960,0,0,7960,30646.8429,35893.1126,3271.271192,439646.7616
HGSZ07,Hougang,Lorong Ah Soo,0,8610,10720,7230,26560,2990,3620,33170,33930.3169,37657.026,5438.211022,1515533.891
SGSZ05,Serangoon,Lorong Chuan,0,0,0,0,0,3990,4230,8220,31327.7628,36732.6316,5440.347324,1180126.112
HGSZ10,Hougang,Lorong Halus,0,0,0,0,0,0,0,0,35870.2568,39071.4384,5788.960001,1333532.986
SESZ01,Sengkang,Lorong Halus North,0,0,0,0,0,0,0,0,36619.2153,40404.6157,3930.096752,924866.0165
YSSZ05,Yishun,Lower Seletar,0,380,1330,980,2690,810,1100,4600,29437.6195,43432.0454,15209.76279,8453312.38
PRSZ07,Pasir Ris,Loyang East,0,0,0,0,0,910,1250,2160,43592.3311,38890.0948,4185.462898,970068.0722
PRSZ06,Pasir Ris,Loyang West,0,0,0,0,0,0,0,0,43294.8337,39888.7716,6203.002065,2114789.488
RCSZ06,Rochor,Mackenzie,0,0,0,0,0,100,0,100,29680.0182,32062.9263,1216.480631,55681.28248
GLSZ02,Geylang,Macpherson,5550,11950,5800,3190,26490,690,1790,28970,33774.3483,34399.1614,4585.78818,1263409.404
NVSZ03,Novena,Malcolm,0,0,0,0,0,700,1860,2560,28070.2584,33930.2568,5346.80972,1321089.881
MDSZ02,Mandai,Mandai East,0,0,0,0,0,0,0,0,25739.2736,45391.7648,11572.52954,7235809.441
MDSZ03,Mandai,Mandai Estate,0,0,0,0,0,1290,770,2060,27082.698,45367.4603,1633.708416,143137.9411
MDSZ01,Mandai,Mandai West,0,0,0,0,0,0,0,0,22549.0736,44455.8474,9630.62719,4387133.117
QTSZ05,Queenstown,Margaret Drive,370,900,8860,3500,13620,10,20,13650,25202.7614,31065.9731,5969.645039,1026467.393
DTSZ03,Downtown Core,Marina Centre,0,0,0,0,0,0,0,0,30938.0985,30471.8267,4047.111169,886954.8092
MESZ01,Marina East,Marina East,0,0,0,0,0,0,0,0,32344.0489,30103.2495,6470.949643,1844060.675
MPSZ05,Marine Parade,Marina East (Mp),0,0,0,0,0,0,0,0,33715.6975,30512.2476,6657.151393,1590339.796
MSSZ01,Marina South,Marina South,0,0,0,0,0,0,0,0,31595.8357,29220.1873,5267.381024,1630379.268
MPSZ03,Marine Parade,Marine Parade,3700,6730,5170,5580,21180,7030,120,28330,36263.9827,31684.2656,6019.279096,1160017.478
BMSZ01,Bukit Merah,Maritime Square,0,0,0,0,0,2380,90,2470,25805.7867,27911.4193,13737.11618,2701634.34
BSSZ02,Bishan,Marymount,0,0,14690,9240,23920,4100,2880,30900,29287.5853,37383.764,6383.479273,1964134.532
PGSZ03,Punggol,Matilda,2290,3700,15960,9830,31770,5600,0,37370,35089.9853,42728.2745,5361.915964,1418284.255
DTSZ07,Downtown Core,Maxwell,0,0,0,0,0,0,0,0,29392.0478,29096.7539,1419.801857,63664.96677
QTSZ06,Queenstown,Mei Chin,1940,5610,2890,2820,13260,2810,220,16290,24651.0693,30651.134,3580.442857,748683.9959
WDSZ02,Woodlands,Midview,980,1090,15630,18100,35810,0,0,35810,23349.76,46841.1143,4159.20144,936415.5261
NTSZ05,Newton,Monk's Hill,0,0,0,0,0,960,0,960,28922.8456,32259.7856,2446.733416,171720.6207
NVSZ02,Novena,Moulmein,0,0,180,0,180,7050,1240,8470,29057.4415,33323.9221,5388.741938,1347456.011
RCSZ07,Rochor,Mount Emily,0,0,0,0,0,1070,60,1130,29583.2555,31639.481,2301.2303,193992.3453
NVSZ05,Novena,Mount Pleasant,0,0,0,0,0,0,660,660,27515.3125,35112.6183,7234.110745,3142950.108
MPSZ01,Marine Parade,Mountbatten,0,0,0,0,0,5160,5100,10260,34449.7044,31557.7446,5430.267061,1713623.005
TNSZ01,Tanglin,Nassim,0,0,0,0,0,7040,1570,8610,27002.6928,32905.576,6241.332877,2096085.23
QTSZ11,Queenstown,National University Of S'pore,0,0,0,0,0,0,0,0,21688.9243,30930.1213,5625.416891,1755950.439
BPSZ07,Bukit Panjang,Nature Reserve,0,0,0,0,0,3260,550,3810,21822.6273,37285.2615,9051.909119,4141322.431
YSSZ07,Yishun,Nee Soon,0,0,0,0,0,430,460,890,25921.7245,43261.5225,7074.070778,2206695.555
NTSZ03,Newton,Newton Circus,0,0,0,0,0,210,10,220,28587.1626,32653.9428,2399.4073,213581.642
WDSZ09,Woodlands,North Coast,160,5700,6000,2300,14160,0,0,14160,22147.036,48031.5522,10847.88198,2450783.607
NESZ01,North-Eastern Islands,North-Eastern Islands,0,0,0,0,0,0,0,0,50424.7923,42612.8784,62436.23535,67250562.96
YSSZ02,Yishun,Northland,680,7090,16530,6130,30420,0,0,30420,28520.5814,46642.7243,5057.119921,1511000.363
PGSZ01,Punggol,Northshore,0,0,0,0,0,0,290,290,36169.5574,44222.7655,5355.637118,1360000.631
QTSZ08,Queenstown,One North,0,0,0,0,0,510,60,570,23299.2437,31176.1605,6591.907914,2051652.622
RVSZ01,River Valley,One Tree Hill,0,0,0,0,0,1320,530,1850,27315.5592,31563.7968,2464.413094,340743.3416
NTSZ01,Newton,Orange Grove,0,0,0,0,0,1440,0,1440,27668.1841,32484.764,2476.246298,336221.4941
RVSZ04,River Valley,Oxley,0,0,0,0,0,1240,140,1380,28802.3555,31053.6717,1989.487026,200052.6848
CLSZ09,Clementi,Pandan,0,0,0,0,0,0,0,0,19228.6033,32265.401,5689.646944,1312922.681
SKSZ04,Sungei Kadut,Pang Sua,0,0,0,0,0,0,0,0,18535.5677,43826.0836,7561.990107,2175380.058
QTSZ13,Queenstown,Pasir Panjang 1,0,0,0,0,0,2600,1420,4020,22077.3383,29893.7812,6571.323082,1084792.321
QTSZ14,Queenstown,Pasir Panjang 2,0,0,0,0,0,1640,1740,3380,23692.6385,28894.4099,5797.231319,853206.5717
PRSZ03,Pasir Ris,Pasir Ris Central,450,810,6610,14250,22120,5440,390,27950,40755.9017,39341.7477,5273.239002,1511487.384
PRSZ05,Pasir Ris,Pasir Ris Drive,870,0,23700,31810,56380,1750,0,58130,42032.458,38988.2187,5311.060366,1639669.017
PRSZ04,Pasir Ris,Pasir Ris Park,0,0,0,0,0,4590,250,4840,41529.798,40218.9437,8533.963998,1719704.595
PRSZ01,Pasir Ris,Pasir Ris Wafer Fab Park,0,0,0,0,0,0,0,0,38612.4965,41196.6819,10606.6469,5325421.575
PRSZ02,Pasir Ris,Pasir Ris West,0,0,10770,18330,29100,4370,2140,35610,39851.4092,40140.2237,5128.49489,1583440.164
RVSZ02,River Valley,Paterson,0,0,0,0,0,170,10,180,27809.3171,31511.3733,1753.92708,173121.7736
PLSZ02,Paya Lebar,Paya Lebar East,0,0,0,0,0,0,0,0,38065.4483,37522.396,7470.111952,2259239.74
PLSZ01,Paya Lebar,Paya Lebar North,0,0,0,0,0,0,0,0,38291.9788,39463.3319,4812.862905,1287387.263
PLSZ03,Paya Lebar,Paya Lebar West,0,0,0,0,0,0,0,0,36649.3106,39403.4873,5898.475695,609894.668
OTSZ01,Outram,Pearl's Hill,5290,1190,280,20,6780,1030,0,7810,28679.0634,29782.0519,3506.107376,559816.2454
TPSZ06,Toa Payoh,Pei Chun,480,5710,2970,2200,11370,0,0,11370,30814.3282,35440.9703,2901.789416,411403.9371
CKSZ04,Choa Chu Kang,Peng Siang,420,670,20440,12520,34050,0,0,34050,17462.292,40146.4113,4555.057953,862737.0908
JESZ10,Jurong East,Penjuru Crescent,0,0,0,0,0,0,0,0,17651.309,31799.6102,9876.049092,3049720.082
OTSZ02,Outram,People's Park,0,0,0,0,0,330,0,330,28831.7807,29419.6457,1822.192718,93140.43764
DTSZ04,Downtown Core,Phillip,0,0,0,0,0,0,0,0,29706.7242,29744.9079,871.5548878,39437.93527
PNSZ05,Pioneer,Pioneer Sector,0,0,0,0,0,0,0,0,8872.7501,31423.4434,8489.982578,2796006.828
PLSZ05,Paya Lebar,Plab,0,0,0,0,0,0,0,0,36691.9113,37730.7232,11966.01676,7034806.472
QTSZ15,Queenstown,Port,0,0,0,0,0,0,100,100,21576.0765,28788.2172,23438.81854,7601893.995
TPSZ09,Toa Payoh,Potong Pasir,0,5330,4000,1170,10500,1770,60,12330,31596.799,35028.1043,3496.881664,639143.5594
SLSZ02,Seletar,Pulau Punggol Barat,0,0,0,0,0,0,0,0,33050.0976,45213.5347,6251.207796,2050051.225
SLSZ03,Seletar,Pulau Punggol Timor,0,0,0,0,0,0,0,0,34428.8491,44535.8977,4817.803706,1259743.113
SMSZ04,Simpang,Pulau Seletar,0,0,0,0,0,0,0,0,31511.014,47245.3329,5466.048269,1611278.675
PGSZ06,Punggol,Punggol Canal,0,0,0,0,0,0,0,0,37408.8422,43168.5702,6279.464843,1265919.304
PGSZ04,Punggol,Punggol Field,210,130,13180,29240,42760,2220,0,44980,36673.8994,41847.0902,5229.116114,1378710.536
PGSZ02,Punggol,Punggol Town Centre,0,1540,8040,2060,11640,0,0,11640,35602.3777,43427.511,4896.767508,1264384.789
QTSZ07,Queenstown,Queensway,0,0,0,0,0,250,30,280,24168.3106,30104.1768,3454.239283,631644.2893
DTSZ05,Downtown Core,Raffles Place,0,0,0,0,0,0,0,0,29968.6175,29572.7618,1872.752161,188767.4897
BMSZ03,Bukit Merah,Redhill,2150,2350,3220,3380,11090,850,0,11940,26201.958,30005.7035,2825.594099,387429.44
SKSZ05,Sungei Kadut,Reservoir View,0,0,0,0,0,0,0,0,18367.171,45940.4868,10399.42448,3284130.42
