SUBZONE_C,SUBZONE_N,PLN_AREA_N,TOTAL_POPULATION,CHILDREN_0_9,ADOLESCENT_10_19,ADULT_20_34,SENIOR_35_59,ELDERLY_60_ABOVE,X_COORDINATE,Y_COORDINATE,SHAPE_Leng,SHAPE_Area
BDSZ01,KAKI BUKIT,BEDOK,40090,2990,4430,9290,14990,8390,36485.3951,35307.0408,8153.888135,2820171.679
KLSZ08,KALLANG BAHRU,KALLANG,0,0,0,0,0,0,31579.2889,32929.5276,3710.904602,839488.9772
GLSZ01,KALLANG WAY,GEYLANG,0,0,0,0,0,0,32761.4923,34229.7192,4055.202723,963198.8794
KLSZ04,KAMPONG BUGIS,KALLANG,870,50,70,220,310,220,32138.2216,32275.6907,4018.127622,741437.9922
RCSZ05,KAMPONG GLAM,ROCHOR,190,20,0,30,60,80,30934.989,31623.1483,1681.626995,171334.392
KLSZ07,KAMPONG JAVA,KALLANG,11100,920,1030,1980,4360,2810,29891.5311,32888.5297,4344.612171,1022292.301
BMSZ11,KAMPONG TIONG BAHRU,BUKIT MERAH,10280,750,870,1750,3770,3140,27335.8305,28979.7731,3304.060465,365333.4262
GLSZ03,KAMPONG UBI,GEYLANG,12900,1000,1390,3180,4920,2410,35039.5495,34647.2633,5573.532918,1878092.478
HGSZ02,KANGKAR,HOUGANG,28780,2650,3180,6160,11170,5620,35222.4409,39071.3399,5617.430811,1007410.002
MPSZ02,KATONG,MARINE PARADE,9510,930,1030,1690,3890,1970,35680.9007,32176.3506,5062.814851,1078992.025
CKSZ02,KEAT HONG,CHOA CHU KANG,19220,1970,2610,4880,7440,2320,18333.674,39720.6197,4680.783291,1143813.675
AMSZ06,KEBUN BAHRU,ANG MO KIO,23300,1570,2260,4240,9010,6220,28700.1674,39496.5061,4288.194231,1046417
BDSZ03,KEMBANGAN,BEDOK,38980,2980,3760,8400,14320,9520,37158.7015,34115.9683,6785.111707,2387277.532
QTSZ12,KENT RIDGE,QUEENSTOWN,1030,70,100,230,410,220,23464.8409,29725.3706,7439.547656,1826848.561
YSSZ08,KHATIB,YISHUN,10630,730,1060,2570,4190,2080,27480.6357,44420.6884,4956.145735,1432913.062
JWSZ06,KIAN TECK,JURONG WEST,0,0,0,0,0,0,12929.7451,34857.7532,8830.555258,2098176.496
TPSZ07,KIM KEAT,TOA PAYOH,8590,600,730,1770,3280,2210,30817.6061,34898.8968,2500.852271,369770.5632
